sample_id,L_over_D,CD_total,stress_max_MPa,mass_struct_kg,rcs_dbsm,J_norm,Status,rejection_reason,wall_time_s,aero_CL,aero_CD_total,aero_CD_parasitic,aero_CD_induced,aero_CD_wave,aero_L_over_D,aero_oswald_e,struct_stress_max_MPa,struct_delta_tip_m,struct_mass_struct_kg,struct_FI,struct_BF,struct_I_xx_m4,stealth_rcs_dbsm,stealth_rcs_m2,stealth_align_factor,stealth_sweep_factor,stealth_inlet_factor,wing_span,wing_area,wing_AR,body_length,cruise_mach,mass_GTOW,mass_fuel_kg,mass_payload_kg,wing_sweep_LE,inlet_shield,rcs_frontal,stealth_align_deg,vtail_cant_deg,n_max,rank
527,20.5235,0.026063,190.99,1409.3,-4.13,0.506363,Rejected,RCS -4.1 > -20.0 dBsm,0.0,0.534901,0.026063,0.011766,0.014254,4.4e-05,20.5235,0.8151,190.99,0.2102,1409.3,0.3473,2.8798,0.00066703,-4.13,0.386508,0.8614,0.7296,0.862,9.711440118226038,47.69881297841522,7.838872510238113,7.547259223460555,0.8671405175071103,7676.879978001981,2160.103899998348,2274.834280374397,51.55171588758881,0.3449683353851309,-2.1689924080632643,15.589028838207655,16.476381034408774,6.8300421305424335,1
106,25.4411,0.020699,570.18,1958.2,-5.88,0.543035,Rejected,Stress 570 > 450 MPa; RCS -5.9 > -20.0 dBsm,0.0,0.526596,0.020699,0.01075,0.009944,5e-06,25.4411,0.6808,570.18,3.5934,1958.2,1.0367,0.9646,0.00011162,-5.88,0.258261,0.9549,0.8084,0.6346,15.480020352317808,72.86106855556949,13.038913911766112,10.7533564969047,0.8565245751284973,9194.794224045036,2415.3873193255736,1479.210898291025,42.351343495131616,0.9135811687508528,-3.394340239048894,5.077140261431312,31.50873542861933,4.027890916114131,2
271,17.4326,0.04141,351.23,1764.2,-3.56,0.550566,Rejected,RCS -3.6 > -20.0 dBsm,0.0,0.721892,0.04141,0.011268,0.029594,0.000548,17.4326,0.8515,351.23,0.7921,1764.2,0.6386,1.5659,0.00024368,-3.56,0.440526,0.9136,0.8525,0.8507,10.487408377686467,66.2407032563885,6.582719116770403,6.440012051676961,0.8951529299354078,8701.714654223708,2548.5314819566124,2152.403626959287,37.21013835661152,0.3731966111447795,-2.6077196399079163,9.715957179469624,29.679917801349852,6.586752039675995,3
282,22.6542,0.022036,280.78,1655.5,-6.05,0.562362,Rejected,RCS -6.0 > -20.0 dBsm,0.0,0.499214,0.022036,0.01109,0.010946,0.0,22.6542,0.7731,280.78,0.8666,1655.5,0.5105,1.9588,0.00022207,-6.05,0.248218,0.7956,0.755,0.7589,12.656435185603057,67.74630751277532,9.374132097092453,9.183868263681724,0.8198592228558716,8730.64886160862,2738.4737593970035,1463.0856299180532,48.58297996397823,0.6027624768333395,-3.836281802486592,22.99150056952981,49.18136058158819,3.724111933581744,4
617,16.1612,0.052296,323.92,1989.5,-4.49,0.616329,Rejected,RCS -4.5 > -20.0 dBsm,0.0,0.845163,0.052296,0.012503,0.036575,0.003218,16.1612,0.8233,323.92,0.4908,1989.5,0.5889,1.6979,0.00067393,-4.49,0.355292,0.9142,0.9203,0.8466,11.424492893724729,68.52835208395948,7.550878372039314,11.342919723175134,0.9275691841516776,9538.752941743984,2619.468659882392,2635.589203449704,29.296100494138223,0.3835272973739141,-3.4377744433067114,9.650197317778105,26.29879635026544,7.964901183178204,5
346,21.2802,0.039971,976.98,2623.7,-6.99,0.623097,Rejected,Stress 977 > 450 MPa; RCS -7.0 > -20.0 dBsm,0.0,0.850587,0.039971,0.010065,0.029906,0.0,21.2802,0.7495,976.98,4.3416,2623.7,1.7763,0.563,0.00018446,-6.99,0.199759,0.8238,0.7012,0.8746,14.695005230308418,83.32444694064158,10.274505989814305,8.05267213438062,0.736789680468119,9704.796327794926,3238.1270240192034,972.91398459512,54.86338964445719,0.3135275817912581,-4.303087447720081,19.825757085565638,42.45318530586878,8.90702762441155,6
444,19.4695,0.03273,220.85,1813.0,-5.86,0.629676,Rejected,RCS -5.9 > -20.0 dBsm,0.0,0.637235,0.03273,0.011351,0.021312,6.7e-05,19.4695,0.8304,220.85,0.4982,1813.0,0.4016,2.4903,0.00043268,-5.86,0.259451,0.7388,0.8736,0.7758,12.168029215489454,80.36833458200901,7.30380917887108,10.627437817519272,0.870124213264756,10712.412519952592,3803.6009134621017,2090.9327379309907,34.7468360593646,0.5605287883501378,-3.22501580717201,29.3819184885693,33.99706175933407,3.8252073890051737,7
24,19.779,0.037377,569.28,2351.3,-6.86,0.644187,Rejected,Stress 569 > 450 MPa; RCS -6.9 > -20.0 dBsm,0.0,0.739272,0.037377,0.01069,0.026402,0.000284,19.779,0.8056,569.28,2.1681,2351.3,1.0351,0.9661,0.00021028,-6.86,0.205987,0.7509,0.8908,0.979,13.54579593629099,88.94213272767446,8.178909786088807,6.136878044726586,0.8860367357829785,10111.419658670986,4101.699762030747,604.4456588292337,32.73420613770678,0.0523868285426081,-6.1557828543764685,28.024664707580715,40.76947921353511,6.213266988080329,8
606,18.5278,0.017278,313.56,2562.9,-5.54,0.649865,Rejected,RCS -5.5 > -20.0 dBsm,0.0,0.320122,0.017278,0.010837,0.00644,0.0,18.5278,0.8758,313.56,0.6038,2562.9,0.5701,1.7541,0.00076203,-5.54,0.27952,0.8073,0.9014,0.8875,12.207340505031937,102.1623875382813,5.78289068764766,9.328570516202433,0.728593070701553,11604.08503223424,3483.402547386645,2678.170448128067,31.508485991078047,0.2811903008577721,-3.972452493389039,21.676721346927778,21.913709811542777,7.465290836014709,9
427,13.1828,0.046929,64.74,1225.3,-4.46,0.652639,Rejected,RCS -4.5 > -20.0 dBsm,0.0,0.618651,0.046929,0.012126,0.02863,0.006173,13.1828,0.9116,64.74,0.056,1225.3,0.1177,8.4961,0.00083426,-4.46,0.35849,0.8076,0.9271,0.6308,8.471145028955037,60.95009907317705,4.667708406791728,6.684667756827009,0.9604360518231648,7994.286457481577,2184.1074698153648,2433.93577410326,28.507997276836445,0.9230219302349414,-2.316064728506255,21.641120495072865,45.56209709421336,3.2951756024719296,10
